# A list of pairs, left: old-name-of-module, right: new-name-of-module.
acl ansible.posix.acl
acme_account community.crypto.acme_account
acme_account_info community.crypto.acme_account_info
acme_certificate community.crypto.acme_certificate
acme_certificate_revoke community.crypto.acme_certificate_revoke
acme_challenge_cert_helper community.crypto.acme_challenge_cert_helper
acme_inspect community.crypto.acme_inspect
adaptive_response_notable_event splunk.es.adaptive_response_notable_event
add_host ansible.builtin.add_host
aerospike_migrations community.general.aerospike_migrations
airbrake_deployment community.general.airbrake_deployment
aix_devices community.general.aix_devices
aix_filesystem community.general.aix_filesystem
aix_inittab community.general.aix_inittab
aix_lvg community.general.aix_lvg
aix_lvol community.general.aix_lvol
ali_instance community.general.ali_instance
ali_instance_info community.general.ali_instance_info
alternatives community.general.alternatives
ansible_galaxy_install community.general.ansible_galaxy_install
apache2_mod_proxy community.general.apache2_mod_proxy
apache2_module community.general.apache2_module
apk community.general.apk
apt ansible.builtin.apt
apt_key ansible.builtin.apt_key
apt_repo community.general.apt_repo
apt_repository ansible.builtin.apt_repository
apt_rpm community.general.apt_rpm
archive community.general.archive
asa_acl cisco.asa.asa_acl
asa_acls cisco.asa.asa_acls
asa_command cisco.asa.asa_command
asa_config cisco.asa.asa_config
asa_facts cisco.asa.asa_facts
asa_og cisco.asa.asa_og
asa_ogs cisco.asa.asa_ogs
assemble ansible.builtin.assemble
assert ansible.builtin.assert
async_status ansible.builtin.async_status
at ansible.posix.at
atomic_container community.general.atomic_container
atomic_host community.general.atomic_host
atomic_image community.general.atomic_image
authorized_key ansible.posix.authorized_key
awall community.general.awall
beadm community.general.beadm
bearychat community.general.bearychat
bigip_apm_acl f5networks.f5_modules.bigip_apm_acl
bigip_apm_network_access f5networks.f5_modules.bigip_apm_network_access
bigip_apm_policy_fetch f5networks.f5_modules.bigip_apm_policy_fetch
bigip_apm_policy_import f5networks.f5_modules.bigip_apm_policy_import
bigip_asm_advanced_settings f5networks.f5_modules.bigip_asm_advanced_settings
bigip_asm_dos_application f5networks.f5_modules.bigip_asm_dos_application
bigip_asm_policy_fetch f5networks.f5_modules.bigip_asm_policy_fetch
bigip_asm_policy_import f5networks.f5_modules.bigip_asm_policy_import
bigip_asm_policy_manage f5networks.f5_modules.bigip_asm_policy_manage
bigip_asm_policy_server_technology f5networks.f5_modules.bigip_asm_policy_server_technology
bigip_asm_policy_signature_set f5networks.f5_modules.bigip_asm_policy_signature_set
bigip_cgnat_lsn_pool f5networks.f5_modules.bigip_cgnat_lsn_pool
bigip_cli_alias f5networks.f5_modules.bigip_cli_alias
bigip_cli_script f5networks.f5_modules.bigip_cli_script
bigip_command f5networks.f5_modules.bigip_command
bigip_config f5networks.f5_modules.bigip_config
bigip_configsync_action f5networks.f5_modules.bigip_configsync_action
bigip_data_group f5networks.f5_modules.bigip_data_group
bigip_device_auth f5networks.f5_modules.bigip_device_auth
bigip_device_auth_ldap f5networks.f5_modules.bigip_device_auth_ldap
bigip_device_auth_radius f5networks.f5_modules.bigip_device_auth_radius
bigip_device_auth_radius_server f5networks.f5_modules.bigip_device_auth_radius_server
bigip_device_certificate f5networks.f5_modules.bigip_device_certificate
bigip_device_connectivity f5networks.f5_modules.bigip_device_connectivity
bigip_device_dns f5networks.f5_modules.bigip_device_dns
bigip_device_group f5networks.f5_modules.bigip_device_group
bigip_device_group_member f5networks.f5_modules.bigip_device_group_member
bigip_device_ha_group f5networks.f5_modules.bigip_device_ha_group
bigip_device_httpd f5networks.f5_modules.bigip_device_httpd
bigip_device_info f5networks.f5_modules.bigip_device_info
bigip_device_license f5networks.f5_modules.bigip_device_license
bigip_device_ntp f5networks.f5_modules.bigip_device_ntp
bigip_device_sshd f5networks.f5_modules.bigip_device_sshd
bigip_device_syslog f5networks.f5_modules.bigip_device_syslog
bigip_device_traffic_group f5networks.f5_modules.bigip_device_traffic_group
bigip_device_trust f5networks.f5_modules.bigip_device_trust
bigip_dns_cache_resolver f5networks.f5_modules.bigip_dns_cache_resolver
bigip_dns_nameserver f5networks.f5_modules.bigip_dns_nameserver
bigip_dns_resolver f5networks.f5_modules.bigip_dns_resolver
bigip_dns_zone f5networks.f5_modules.bigip_dns_zone
bigip_file_copy f5networks.f5_modules.bigip_file_copy
bigip_firewall_address_list f5networks.f5_modules.bigip_firewall_address_list
bigip_firewall_dos_profile f5networks.f5_modules.bigip_firewall_dos_profile
bigip_firewall_dos_vector f5networks.f5_modules.bigip_firewall_dos_vector
bigip_firewall_global_rules f5networks.f5_modules.bigip_firewall_global_rules
bigip_firewall_log_profile f5networks.f5_modules.bigip_firewall_log_profile
bigip_firewall_log_profile_network f5networks.f5_modules.bigip_firewall_log_profile_network
bigip_firewall_policy f5networks.f5_modules.bigip_firewall_policy
bigip_firewall_port_list f5networks.f5_modules.bigip_firewall_port_list
bigip_firewall_rule f5networks.f5_modules.bigip_firewall_rule
bigip_firewall_rule_list f5networks.f5_modules.bigip_firewall_rule_list
bigip_firewall_schedule f5networks.f5_modules.bigip_firewall_schedule
bigip_gtm_datacenter f5networks.f5_modules.bigip_gtm_datacenter
bigip_gtm_dns_listener f5networks.f5_modules.bigip_gtm_dns_listener
bigip_gtm_global f5networks.f5_modules.bigip_gtm_global
bigip_gtm_monitor_bigip f5networks.f5_modules.bigip_gtm_monitor_bigip
bigip_gtm_monitor_external f5networks.f5_modules.bigip_gtm_monitor_external
bigip_gtm_monitor_firepass f5networks.f5_modules.bigip_gtm_monitor_firepass
bigip_gtm_monitor_http f5networks.f5_modules.bigip_gtm_monitor_http
bigip_gtm_monitor_https f5networks.f5_modules.bigip_gtm_monitor_https
bigip_gtm_monitor_tcp f5networks.f5_modules.bigip_gtm_monitor_tcp
bigip_gtm_monitor_tcp_half_open f5networks.f5_modules.bigip_gtm_monitor_tcp_half_open
bigip_gtm_pool f5networks.f5_modules.bigip_gtm_pool
bigip_gtm_pool_member f5networks.f5_modules.bigip_gtm_pool_member
bigip_gtm_server f5networks.f5_modules.bigip_gtm_server
bigip_gtm_topology_record f5networks.f5_modules.bigip_gtm_topology_record
bigip_gtm_topology_region f5networks.f5_modules.bigip_gtm_topology_region
bigip_gtm_virtual_server f5networks.f5_modules.bigip_gtm_virtual_server
bigip_gtm_wide_ip f5networks.f5_modules.bigip_gtm_wide_ip
bigip_hostname f5networks.f5_modules.bigip_hostname
bigip_iapp_service f5networks.f5_modules.bigip_iapp_service
bigip_iapp_template f5networks.f5_modules.bigip_iapp_template
bigip_ike_peer f5networks.f5_modules.bigip_ike_peer
bigip_imish_config f5networks.f5_modules.bigip_imish_config
bigip_interface f5networks.f5_modules.bigip_interface
bigip_ipsec_policy f5networks.f5_modules.bigip_ipsec_policy
bigip_irule f5networks.f5_modules.bigip_irule
bigip_log_destination f5networks.f5_modules.bigip_log_destination
bigip_log_publisher f5networks.f5_modules.bigip_log_publisher
bigip_lx_package f5networks.f5_modules.bigip_lx_package
bigip_management_route f5networks.f5_modules.bigip_management_route
bigip_message_routing_peer f5networks.f5_modules.bigip_message_routing_peer
bigip_message_routing_protocol f5networks.f5_modules.bigip_message_routing_protocol
bigip_message_routing_route f5networks.f5_modules.bigip_message_routing_route
bigip_message_routing_router f5networks.f5_modules.bigip_message_routing_router
bigip_message_routing_transport_config f5networks.f5_modules.bigip_message_routing_transport_config
bigip_monitor_dns f5networks.f5_modules.bigip_monitor_dns
bigip_monitor_external f5networks.f5_modules.bigip_monitor_external
bigip_monitor_ftp f5networks.f5_modules.bigip_monitor_ftp
bigip_monitor_gateway_icmp f5networks.f5_modules.bigip_monitor_gateway_icmp
bigip_monitor_http f5networks.f5_modules.bigip_monitor_http
bigip_monitor_https f5networks.f5_modules.bigip_monitor_https
bigip_monitor_icmp f5networks.f5_modules.bigip_monitor_icmp
